url,time,text,posttime,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/permalink.php?story_fbid=2413188228950307&id=1471772763091863","1567870195","請大家購買我的產品的時候，是真的有需求再購買，沒有必要只因為喜歡我去盲目的支持，最後感謝大家購買我的商品處處可見良心
請大家購買我的產品的時候，是真的有需求再購買，沒有必要只因為喜歡我去盲目的支持，最後感謝大家購買我的商品處處可見良心","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2413089778960152&id=1471772763091863","1567862373","由於系統出錯預定14號開賣的乳清
在晚上就PO上去開賣已經賣出一部分! 
所以現在正式放在網站已經可以下訂
原舊有口味
觀音拿鐵，香草，抹茶，巧克力
本次新口味
阿薩姆奶茶，草莓牛奶

 購買網站

 https://www.infinitepowershop.com/…/infinite-power-%E6%BF%8…","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2411871385748658&id=1471772763091863","1567720684","不管別人怎麼說
你們還願意信賴我
謝謝你們！不管別人怎麼說
你們還願意信賴我
謝謝你們！","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2412328762369587&id=1471772763091863","1567775211","接受全球非常知名國際彭博新聞社 專訪!!!!
並會在世界各國放上我的採訪
包含平面報紙 廣播電台 以及電子報導

 彭博新聞社（英文：Bloomberg
News）是全球最大的財經資訊公司，主要是提供經濟資訊的平台，總部位於美國紐約，提供世界各地的使用者使用其來交換資訊，它也提供權威性的經濟評論及觀點

 
成立於1982年的美國彭博資訊公司是目前全球最大的財經資訊公司。彭博僅用了22年的時間，就將它的金融數據市場的銷售收入超越了具有150年曆史的、世界上最大的資訊公司","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2410650249204105&id=1471772763091863","1567594980","首先這是中時報導必屬糞作

 然後我想請問你這個算命師
算不算的出來我甚麼時候
會過去呼你一巴掌?

 下坡?????
我老二硬得很我哩幹

 https://www.chinatimes.com/realtimen…/20190904002684-260404…","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2409812242621239&id=1471772763091863","1567492747","軍人節快樂
你們為了國家辛苦了！軍人節快樂
你們為了國家辛苦了！","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2408200659449064&id=1471772763091863&__tn__=-R","1567297580","恭喜本公司教練獲獎

 https://tw.appledaily.com/new/realtime/20190831/1626102/","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2408719149397215&id=1471772763091863","1567355326","2019 九月份 阿館新單曲

 感謝粉絲梅川製作

 這麼好聽~請幫忙分享

 https://www.youtube.com/watch…","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2413002005635596&id=1471772763091863","1567853589","像我長得稍微帥一點
就要被人忌妒~

 做人真的很難~~ 

 不說了我擦個屁股去吃飯了","","","","","","",""
"https://www.facebook.com/permalink.php?story_fbid=2412154905720306&id=1471772763091863","1567756260","九月份新款男女裝都有
本次新增女性運動內衣

 男女壓縮運動褲

 重點是有舊款當時做出要換貨的舊商品
也會一併上但數量不多!
以前沒買到的款式這次可以購買

 https://www.youtube.com/watch?v=T1ocJaRFfug","","","","","","",""
