url,posttime,text,crawled_time
"https://www.facebook.com/MrsMaWife/posts/3292216397507990","1570623006","＊１0/10~10/13期間，購買限定一日票，只需150元就可將園區玩透透","1570646825"
"https://www.facebook.com/MrsMaWife/posts/3258791727517124","1569169605","","1570646825"
"https://www.facebook.com/MrsMaWife/posts/3202631473133150","1566547741","[關於當父親這件事]

 從 小馬修一出生時
馬修就學著幫小孩洗澡餵奶拍嗝換尿布
剛開始的時候 
我是親餵小馬修的
很多爸爸會覺得反正親餵
可能自己也幫不上什麼忙
但每次我親餵
馬修總是會跟著起床
跟我聊聊天
看看孩子
也幫忙照顧
最重要是
他不想辛苦只有我一個人
他希望多少能一起陪我分擔

 半夜小孩哭時
他也會趕快抱小孩哄小孩
有空閒的時候
就去洗奶瓶洗碗
我塞奶的時候
也很努力的找資料幫我冰敷胸部
還跑去菜市場買高麗菜回來冰
不管有沒有用
他真的很細心
我真的很感動有他這個老公
到現在回想起來
其實很謝謝他的努力學習和用心

 自然產生完的我
三天後出院
有一次馬修說要試著幫嬰兒洗澡
我說好啊
結果洗一半
他說嬰兒好軟好難洗
他說
覺得我一出院就立馬上手
好多時候都知道該做什麼事
一直覺得我很厲害
我說
因為沒有長輩後援
我只是讓自己
趕快適應媽媽這個身份
才不會慌了手腳
雖然馬修很多事情
都是邊做邊學
有時可能粗手粗腳
但他很認真
對我很貼心
照顧孩子很細心
每一分一刻
都是陪著我照顧孩子
讓我完完全全
沒有產後憂鬱症的感覺

 我覺得不是每個媽媽
在小孩一出生就什麼都會
也不是每個爸爸
在小孩一出生就開始學會
很多事情
都是看你願不願意去學去做
不是嘴巴說說我不會
就可以拍拍屁股走人
那這樣的話
每個當了爸爸的人
是不是都可以直接說我不會
然後就什麼都不用做了

 馬修很早就失去父親了
他總是跟我說
來不及孝順爸爸
和爸爸好好聊天
他總是很嚮往
親子互動的感覺
所以
現在他每天下班
一定會抱抱孩子
晚上睡覺時
會親親小馬修的額頭
然後跟他說
我愛你
爸爸很愛你
馬修不是生了小孩就會當爸爸
而是他
一直有努力
去學習如何當好爸爸

 太太先生
#馬修太太","1570646826"
"https://www.facebook.com/MrsMaWife/posts/3288491817880448","1570460858","太夢幻了🥰","1570646826"
"https://www.facebook.com/MrsMaWife/posts/3291370504259246","1570584795","請大家要小心孩子喔
記得勤洗手戴口罩","1570646826"
"https://www.facebook.com/MrsMaWife/posts/3273882472674716","1569825243","俗女養成記太好看了😍
還沒追的人快看！","1570646827"
"https://www.facebook.com/MrsMaWife/posts/3285628031500160","1570339229","今年2019/10/10-10/13，
米森將會在台北世貿婦幼展展出
這次特別企劃，
婦幼展場期間收入100%全額捐贈給兒童福利聯盟
希望可以邀請所有媽咪與寶貝參與米森此次活動
和米森一起幫助出養兒童，
讓他們找到溫暖的家庭，開心成長

 這次米森活動收入將全額捐贈給兒福聯盟單位
10/10-10/13期間前往婦幼展的媽咪們歡迎到米森攤位A914逛逛
和米森一起共襄盛舉！

 #米森x兒福聯合公益
#展場收入全額捐贈","1570646827"
"https://www.facebook.com/MrsMaWife/posts/2853949988001302","1549458650","配上音樂好像一點都不違和😂😂

 #希望一直玩
#舅舅來打分數
#孩子總是體力無限
#不知哪學來的街舞
#以後要找運動量大的給鵝子放電了

 快設定搶先看！才不會忘了我們呦😉
馬修太太IG : https://www.instagram.com/wifeson/
太太先生頻道 : https://goo.gl/MNNxpR
#馬修太太
#太太先生","1570646827"
"https://www.facebook.com/MrsMaWife/posts/2855223907873910","1549517167","都搶到太魯閣號了！
沒理由不出門了😆😆
#好幸運🍀 

 快設定搶先看！才不會忘了我們呦😉
馬修太太IG : https://www.instagram.com/wifeson/
太太先生頻道 : https://goo.gl/MNNxpR
#馬修太太
#太太先生","1570646827"
"https://www.facebook.com/MrsMaWife/posts/3260396860689944","1569243764","馬修叫我去他的錢包
拿錢繳費
結果.............
看到一堆女人照片😅

 太太先生
馬修太太","1570646827"
